@RELATION empleo_recomendacion_simplificado

@ATTRIBUTE tipo_empleo_oferta {Tiempo_Completo, Medio_Tiempo, Por_Horas, Temporal}
@ATTRIBUTE modalidad_oferta {Presencial, Remoto, Hibrido}
@ATTRIBUTE tipo_contrato_oferta {Indefinido, Practicas, Obra_Servicio}
@ATTRIBUTE experiencia_requerida NUMERIC
@ATTRIBUTE nivel_estudio_requerido {Bachillerato, Tecnico, Grado, Master, Doctorado}
@ATTRIBUTE sector_oferta {Tecnologia, Educacion, Salud, Construccion, Otros}

@ATTRIBUTE tipo_empleo_deseado {Tiempo_Completo, Medio_Tiempo, Por_Horas, Temporal}
@ATTRIBUTE preferencia_modalidad {Presencial, Remoto, Hibrido}
@ATTRIBUTE preferencia_contrato {Indefinido, Practicas, Obra_Servicio}
@ATTRIBUTE experiencia_persona NUMERIC
@ATTRIBUTE nivel_estudio_persona {Bachillerato, Tecnico, Grado, Master, Doctorado}
@ATTRIBUTE sector_persona {Tecnologia, Educacion, Salud, Construccion, Otros}
@ATTRIBUTE edad_persona NUMERIC

@ATTRIBUTE coincide_tipo_empleo {Si, No}
@ATTRIBUTE coincide_modalidad {Si, No}
@ATTRIBUTE coincide_contrato {Si, No}
@ATTRIBUTE coincide_estudios {Si, No}
@ATTRIBUTE coincide_sector {Si, No}
@ATTRIBUTE experiencia_suficiente {Si, No}

@ATTRIBUTE compatible {Si, No}

@DATA
Medio_Tiempo,Remoto,Practicas,6,Tecnico,Tecnologia,Medio_Tiempo,Remoto,Practicas,4,Tecnico,Tecnologia,57,Si,Si,Si,Si,Si,No,Si
Tiempo_Completo,Presencial,Indefinido,2,Grado,Otros,Por_Horas,Remoto,Practicas,3,Doctorado,Otros,50,No,No,No,Si,Si,Si,No
Temporal,Remoto,Practicas,5,Tecnico,Educacion,Medio_Tiempo,Remoto,Practicas,6,Grado,Otros,26,No,Si,Si,Si,No,Si,Si
Por_Horas,Hibrido,Obra_Servicio,4,Master,Salud,Por_Horas,Hibrido,Indefinido,6,Bachillerato,Salud,45,Si,Si,No,No,Si,Si,Si
Temporal,Remoto,Practicas,5,Tecnico,Salud,Temporal,Hibrido,Practicas,5,Doctorado,Otros,34,Si,No,Si,Si,No,Si,Si
Tiempo_Completo,Hibrido,Indefinido,6,Doctorado,Otros,Medio_Tiempo,Presencial,Practicas,6,Tecnico,Construccion,23,No,No,No,No,No,Si,No
Tiempo_Completo,Remoto,Indefinido,2,Grado,Otros,Por_Horas,Remoto,Indefinido,4,Doctorado,Otros,53,No,Si,Si,Si,Si,Si,Si
Medio_Tiempo,Remoto,Practicas,6,Bachillerato,Tecnologia,Por_Horas,Remoto,Indefinido,5,Doctorado,Tecnologia,57,No,Si,No,Si,Si,No,No
Tiempo_Completo,Remoto,Obra_Servicio,3,Master,Educacion,Por_Horas,Presencial,Obra_Servicio,6,Grado,Construccion,32,No,No,Si,No,No,Si,No
Temporal,Hibrido,Obra_Servicio,4,Bachillerato,Salud,Por_Horas,Hibrido,Obra_Servicio,5,Master,Educacion,38,No,Si,Si,Si,No,Si,Si
Tiempo_Completo,Hibrido,Indefinido,6,Doctorado,Salud,Temporal,Hibrido,Indefinido,4,Doctorado,Otros,49,No,Si,Si,Si,No,No,No
Temporal,Hibrido,Obra_Servicio,4,Grado,Educacion,Por_Horas,Hibrido,Practicas,4,Master,Educacion,58,No,Si,No,Si,Si,Si,Si
Tiempo_Completo,Presencial,Indefinido,2,Tecnico,Otros,Medio_Tiempo,Presencial,Indefinido,2,Tecnico,Otros,47,No,Si,Si,Si,Si,Si,Si
Medio_Tiempo,Hibrido,Indefinido,6,Bachillerato,Otros,Medio_Tiempo,Hibrido,Obra_Servicio,1,Doctorado,Otros,43,Si,Si,No,Si,Si,No,Si
Tiempo_Completo,Remoto,Practicas,6,Bachillerato,Salud,Tiempo_Completo,Remoto,Practicas,1,Tecnico,Educacion,36,Si,Si,Si,Si,No,No,Si
Tiempo_Completo,Presencial,Indefinido,5,Tecnico,Otros,Medio_Tiempo,Remoto,Indefinido,6,Tecnico,Otros,53,No,No,Si,Si,Si,Si,Si
Temporal,Presencial,Practicas,3,Bachillerato,Salud,Tiempo_Completo,Presencial,Obra_Servicio,5,Bachillerato,Tecnologia,39,No,Si,No,Si,No,Si,No
Por_Horas,Presencial,Indefinido,4,Bachillerato,Educacion,Tiempo_Completo,Presencial,Obra_Servicio,5,Doctorado,Salud,46,No,Si,No,Si,No,Si,No
Medio_Tiempo,Hibrido,Obra_Servicio,2,Tecnico,Educacion,Temporal,Hibrido,Practicas,2,Tecnico,Educacion,52,No,Si,No,Si,Si,Si,Si
Temporal,Hibrido,Obra_Servicio,4,Bachillerato,Educacion,Por_Horas,Remoto,Obra_Servicio,4,Grado,Salud,38,No,No,Si,Si,No,Si,No
Medio_Tiempo,Hibrido,Obra_Servicio,2,Grado,Tecnologia,Medio_Tiempo,Hibrido,Obra_Servicio,2,Tecnico,Otros,49,Si,Si,Si,No,No,Si,Si
Tiempo_Completo,Hibrido,Obra_Servicio,3,Bachillerato,Construccion,Tiempo_Completo,Remoto,Indefinido,4,Doctorado,Construccion,29,Si,No,No,Si,Si,Si,Si
Tiempo_Completo,Hibrido,Indefinido,5,Grado,Construccion,Temporal,Presencial,Obra_Servicio,3,Doctorado,Salud,57,No,No,No,Si,No,No,No
Medio_Tiempo,Presencial,Practicas,1,Grado,Salud,Medio_Tiempo,Remoto,Practicas,6,Doctorado,Construccion,24,Si,No,Si,Si,No,Si,Si
Por_Horas,Remoto,Practicas,1,Grado,Otros,Por_Horas,Presencial,Obra_Servicio,3,Master,Salud,38,Si,No,No,Si,No,Si,No
Tiempo_Completo,Presencial,Indefinido,6,Tecnico,Educacion,Temporal,Remoto,Obra_Servicio,1,Tecnico,Tecnologia,43,No,No,No,Si,No,No,No
Por_Horas,Remoto,Obra_Servicio,2,Master,Tecnologia,Tiempo_Completo,Remoto,Obra_Servicio,2,Master,Construccion,49,No,Si,Si,Si,No,Si,Si
Temporal,Hibrido,Practicas,3,Tecnico,Otros,Medio_Tiempo,Hibrido,Practicas,1,Grado,Otros,35,No,Si,Si,Si,Si,No,Si
Medio_Tiempo,Remoto,Practicas,5,Master,Construccion,Por_Horas,Remoto,Obra_Servicio,5,Bachillerato,Otros,26,No,Si,No,No,No,Si,No
Por_Horas,Remoto,Obra_Servicio,1,Doctorado,Educacion,Medio_Tiempo,Hibrido,Obra_Servicio,4,Tecnico,Educacion,40,No,No,Si,No,Si,Si,No
Medio_Tiempo,Hibrido,Indefinido,1,Doctorado,Otros,Temporal,Hibrido,Indefinido,3,Doctorado,Salud,31,No,Si,Si,Si,No,Si,Si
Por_Horas,Presencial,Obra_Servicio,5,Grado,Construccion,Temporal,Presencial,Indefinido,3,Doctorado,Tecnologia,33,No,Si,No,Si,No,No,No
Temporal,Remoto,Indefinido,3,Doctorado,Tecnologia,Tiempo_Completo,Remoto,Indefinido,1,Bachillerato,Tecnologia,57,No,Si,Si,No,Si,No,No
Por_Horas,Remoto,Obra_Servicio,4,Master,Otros,Tiempo_Completo,Presencial,Indefinido,2,Doctorado,Salud,41,No,No,No,Si,No,No,No
Por_Horas,Hibrido,Indefinido,3,Master,Otros,Temporal,Hibrido,Indefinido,5,Grado,Otros,26,No,Si,Si,No,Si,Si,Si
Por_Horas,Remoto,Indefinido,4,Master,Otros,Por_Horas,Presencial,Obra_Servicio,2,Bachillerato,Otros,52,Si,No,No,No,Si,No,No
Tiempo_Completo,Remoto,Indefinido,6,Bachillerato,Tecnologia,Temporal,Presencial,Indefinido,4,Doctorado,Otros,57,No,No,Si,Si,No,No,No
Temporal,Hibrido,Indefinido,6,Bachillerato,Salud,Tiempo_Completo,Presencial,Practicas,3,Bachillerato,Educacion,50,No,No,No,Si,No,No,No
Medio_Tiempo,Remoto,Obra_Servicio,1,Grado,Educacion,Tiempo_Completo,Remoto,Practicas,6,Doctorado,Salud,31,No,Si,No,Si,No,Si,No
Medio_Tiempo,Remoto,Indefinido,4,Doctorado,Construccion,Medio_Tiempo,Presencial,Obra_Servicio,3,Bachillerato,Otros,24,Si,No,No,No,No,No,No
Tiempo_Completo,Presencial,Practicas,2,Doctorado,Salud,Temporal,Hibrido,Obra_Servicio,1,Doctorado,Construccion,36,No,No,No,Si,No,No,No
Tiempo_Completo,Presencial,Practicas,1,Tecnico,Educacion,Medio_Tiempo,Remoto,Indefinido,3,Master,Construccion,45,No,No,No,Si,No,Si,No
Temporal,Remoto,Practicas,3,Grado,Tecnologia,Temporal,Remoto,Indefinido,3,Master,Salud,25,Si,Si,No,Si,No,Si,Si
Medio_Tiempo,Remoto,Indefinido,3,Master,Tecnologia,Medio_Tiempo,Remoto,Indefinido,2,Doctorado,Otros,36,Si,Si,Si,Si,No,No,Si
Por_Horas,Remoto,Practicas,4,Tecnico,Otros,Por_Horas,Hibrido,Obra_Servicio,6,Grado,Otros,25,Si,No,No,Si,Si,Si,Si
Temporal,Remoto,Obra_Servicio,5,Grado,Construccion,Temporal,Remoto,Obra_Servicio,5,Bachillerato,Tecnologia,37,Si,Si,Si,No,No,Si,Si
Por_Horas,Remoto,Indefinido,5,Tecnico,Educacion,Por_Horas,Remoto,Indefinido,2,Doctorado,Otros,22,Si,Si,Si,Si,No,No,Si
Medio_Tiempo,Remoto,Obra_Servicio,6,Master,Educacion,Medio_Tiempo,Remoto,Obra_Servicio,4,Bachillerato,Salud,35,Si,Si,Si,No,No,No,No
Por_Horas,Hibrido,Indefinido,3,Bachillerato,Educacion,Medio_Tiempo,Presencial,Obra_Servicio,1,Tecnico,Construccion,60,No,No,No,Si,No,No,No
Por_Horas,Remoto,Practicas,4,Bachillerato,Educacion,Tiempo_Completo,Hibrido,Indefinido,1,Bachillerato,Construccion,50,No,No,No,Si,No,No,No
Por_Horas,Remoto,Practicas,5,Tecnico,Salud,Por_Horas,Hibrido,Indefinido,6,Master,Salud,58,Si,No,No,Si,Si,Si,Si
Tiempo_Completo,Hibrido,Practicas,4,Tecnico,Educacion,Medio_Tiempo,Presencial,Practicas,4,Tecnico,Educacion,44,No,No,Si,Si,Si,Si,Si
Tiempo_Completo,Presencial,Obra_Servicio,1,Tecnico,Otros,Medio_Tiempo,Hibrido,Practicas,4,Doctorado,Tecnologia,30,No,No,No,Si,No,Si,No
Temporal,Hibrido,Indefinido,1,Tecnico,Educacion,Por_Horas,Hibrido,Obra_Servicio,1,Doctorado,Educacion,38,No,Si,No,Si,Si,Si,Si
Por_Horas,Hibrido,Indefinido,5,Tecnico,Educacion,Tiempo_Completo,Remoto,Indefinido,1,Tecnico,Educacion,29,No,No,Si,Si,Si,No,No
Tiempo_Completo,Remoto,Indefinido,3,Grado,Construccion,Tiempo_Completo,Presencial,Indefinido,5,Grado,Construccion,31,Si,No,Si,Si,Si,Si,Si
Por_Horas,Presencial,Obra_Servicio,5,Bachillerato,Otros,Temporal,Presencial,Practicas,5,Doctorado,Otros,51,No,Si,No,Si,Si,Si,Si
Tiempo_Completo,Remoto,Practicas,2,Master,Tecnologia,Medio_Tiempo,Hibrido,Practicas,6,Master,Salud,39,No,No,Si,Si,No,Si,No
Medio_Tiempo,Hibrido,Obra_Servicio,6,Tecnico,Educacion,Temporal,Hibrido,Practicas,4,Doctorado,Construccion,60,No,Si,No,Si,No,No,No
Tiempo_Completo,Presencial,Practicas,3,Bachillerato,Otros,Tiempo_Completo,Presencial,Obra_Servicio,1,Tecnico,Otros,55,Si,Si,No,Si,Si,No,Si
Temporal,Remoto,Indefinido,6,Bachillerato,Construccion,Temporal,Presencial,Practicas,6,Bachillerato,Construccion,35,Si,No,No,Si,Si,Si,Si
Temporal,Remoto,Practicas,1,Grado,Educacion,Temporal,Hibrido,Indefinido,1,Doctorado,Educacion,36,Si,No,No,Si,Si,Si,Si
Tiempo_Completo,Hibrido,Obra_Servicio,2,Doctorado,Salud,Tiempo_Completo,Hibrido,Obra_Servicio,1,Tecnico,Salud,47,Si,Si,Si,No,Si,No,Si
Por_Horas,Remoto,Obra_Servicio,4,Master,Educacion,Temporal,Remoto,Obra_Servicio,5,Bachillerato,Salud,33,No,Si,Si,No,No,Si,No
Tiempo_Completo,Remoto,Practicas,6,Bachillerato,Educacion,Tiempo_Completo,Hibrido,Practicas,6,Grado,Otros,42,Si,No,Si,Si,No,Si,Si
Tiempo_Completo,Remoto,Indefinido,1,Master,Otros,Tiempo_Completo,Hibrido,Indefinido,4,Doctorado,Construccion,49,Si,No,Si,Si,No,Si,Si
Medio_Tiempo,Hibrido,Practicas,3,Bachillerato,Salud,Temporal,Presencial,Obra_Servicio,5,Tecnico,Tecnologia,20,No,No,No,Si,No,Si,No
Temporal,Hibrido,Obra_Servicio,4,Grado,Construccion,Temporal,Hibrido,Indefinido,6,Bachillerato,Construccion,23,Si,Si,No,No,Si,Si,Si
Por_Horas,Presencial,Practicas,3,Bachillerato,Tecnologia,Por_Horas,Presencial,Indefinido,4,Master,Construccion,52,Si,Si,No,Si,No,Si,Si
Medio_Tiempo,Presencial,Practicas,1,Tecnico,Tecnologia,Temporal,Presencial,Practicas,5,Tecnico,Otros,55,No,Si,Si,Si,No,Si,Si
Tiempo_Completo,Hibrido,Obra_Servicio,3,Master,Construccion,Medio_Tiempo,Hibrido,Practicas,4,Bachillerato,Salud,22,No,Si,No,No,No,Si,No
Por_Horas,Presencial,Practicas,4,Bachillerato,Educacion,Medio_Tiempo,Presencial,Practicas,5,Tecnico,Otros,20,No,Si,Si,Si,No,Si,Si
Tiempo_Completo,Hibrido,Indefinido,4,Tecnico,Educacion,Por_Horas,Remoto,Indefinido,5,Master,Educacion,43,No,No,Si,Si,Si,Si,Si
Por_Horas,Hibrido,Obra_Servicio,1,Grado,Tecnologia,Temporal,Hibrido,Obra_Servicio,6,Master,Otros,33,No,Si,Si,Si,No,Si,Si
Medio_Tiempo,Hibrido,Indefinido,4,Bachillerato,Educacion,Tiempo_Completo,Hibrido,Indefinido,4,Doctorado,Construccion,39,No,Si,Si,Si,No,Si,Si
Tiempo_Completo,Presencial,Obra_Servicio,5,Tecnico,Tecnologia,Tiempo_Completo,Presencial,Obra_Servicio,5,Bachillerato,Construccion,30,Si,Si,Si,No,No,Si,Si
Medio_Tiempo,Hibrido,Practicas,2,Bachillerato,Otros,Medio_Tiempo,Hibrido,Practicas,3,Grado,Educacion,60,Si,Si,Si,Si,No,Si,Si
Temporal,Remoto,Obra_Servicio,5,Bachillerato,Educacion,Medio_Tiempo,Remoto,Obra_Servicio,1,Doctorado,Educacion,54,No,Si,Si,Si,Si,No,Si
Por_Horas,Hibrido,Practicas,1,Tecnico,Construccion,Temporal,Hibrido,Practicas,5,Tecnico,Otros,32,No,Si,Si,Si,No,Si,Si
Medio_Tiempo,Remoto,Obra_Servicio,6,Master,Otros,Por_Horas,Presencial,Practicas,5,Tecnico,Otros,43,No,No,No,No,Si,No,No
Por_Horas,Remoto,Indefinido,4,Grado,Educacion,Medio_Tiempo,Hibrido,Indefinido,2,Bachillerato,Tecnologia,51,No,No,Si,No,No,No,No
Temporal,Remoto,Practicas,3,Tecnico,Tecnologia,Temporal,Presencial,Obra_Servicio,2,Master,Educacion,36,Si,No,No,Si,No,No,No
Medio_Tiempo,Presencial,Indefinido,4,Tecnico,Otros,Por_Horas,Presencial,Indefinido,4,Master,Educacion,47,No,Si,Si,Si,No,Si,Si
Temporal,Hibrido,Obra_Servicio,1,Doctorado,Otros,Medio_Tiempo,Remoto,Indefinido,2,Grado,Educacion,52,No,No,No,No,No,Si,No
Temporal,Presencial,Practicas,6,Doctorado,Salud,Medio_Tiempo,Presencial,Practicas,4,Doctorado,Salud,27,No,Si,Si,Si,Si,No,Si
Por_Horas,Hibrido,Practicas,5,Bachillerato,Educacion,Medio_Tiempo,Remoto,Practicas,2,Tecnico,Educacion,51,No,No,Si,Si,Si,No,No
Temporal,Remoto,Obra_Servicio,5,Tecnico,Construccion,Tiempo_Completo,Remoto,Practicas,1,Master,Educacion,57,No,Si,No,Si,No,No,No
Temporal,Presencial,Indefinido,2,Bachillerato,Tecnologia,Por_Horas,Remoto,Practicas,3,Doctorado,Tecnologia,33,No,No,No,Si,Si,Si,No
Medio_Tiempo,Presencial,Practicas,6,Grado,Salud,Medio_Tiempo,Remoto,Indefinido,3,Master,Otros,45,Si,No,No,Si,No,No,No
Medio_Tiempo,Hibrido,Practicas,4,Master,Construccion,Tiempo_Completo,Presencial,Obra_Servicio,5,Master,Educacion,26,No,No,No,Si,No,Si,No
Tiempo_Completo,Remoto,Indefinido,2,Bachillerato,Construccion,Medio_Tiempo,Remoto,Indefinido,2,Master,Educacion,46,No,Si,Si,Si,No,Si,Si
Temporal,Remoto,Practicas,5,Bachillerato,Construccion,Por_Horas,Presencial,Indefinido,5,Bachillerato,Salud,32,No,No,No,Si,No,Si,No
Medio_Tiempo,Remoto,Obra_Servicio,2,Tecnico,Tecnologia,Medio_Tiempo,Hibrido,Obra_Servicio,6,Doctorado,Construccion,59,Si,No,Si,Si,No,Si,Si
Tiempo_Completo,Hibrido,Practicas,4,Bachillerato,Salud,Medio_Tiempo,Hibrido,Practicas,6,Tecnico,Construccion,51,No,Si,Si,Si,No,Si,Si
Medio_Tiempo,Presencial,Obra_Servicio,3,Grado,Construccion,Tiempo_Completo,Remoto,Obra_Servicio,3,Master,Construccion,48,No,No,Si,Si,Si,Si,Si
Temporal,Hibrido,Indefinido,1,Tecnico,Construccion,Temporal,Remoto,Practicas,6,Tecnico,Construccion,30,Si,No,No,Si,Si,Si,Si
Temporal,Hibrido,Indefinido,6,Bachillerato,Educacion,Tiempo_Completo,Remoto,Indefinido,4,Tecnico,Educacion,49,No,No,Si,Si,Si,No,No
Temporal,Presencial,Obra_Servicio,2,Grado,Tecnologia,Temporal,Hibrido,Obra_Servicio,2,Doctorado,Otros,22,Si,No,Si,Si,No,Si,Si
Tiempo_Completo,Remoto,Obra_Servicio,6,Tecnico,Educacion,Tiempo_Completo,Hibrido,Obra_Servicio,2,Tecnico,Educacion,28,Si,No,Si,Si,Si,No,Si
Tiempo_Completo,Remoto,Practicas,3,Master,Educacion,Tiempo_Completo,Hibrido,Practicas,2,Bachillerato,Salud,60,Si,No,Si,No,No,No,No
Por_Horas,Hibrido,Obra_Servicio,6,Bachillerato,Construccion,Por_Horas,Hibrido,Practicas,6,Master,Otros,49,Si,Si,No,Si,No,Si,Si
Temporal,Remoto,Indefinido,3,Master,Tecnologia,Por_Horas,Remoto,Indefinido,4,Master,Construccion,32,No,Si,Si,Si,No,Si,Si
Temporal,Remoto,Practicas,4,Tecnico,Educacion,Temporal,Remoto,Practicas,4,Tecnico,Otros,47,Si,Si,Si,Si,No,Si,Si
Medio_Tiempo,Presencial,Practicas,6,Tecnico,Otros,Tiempo_Completo,Hibrido,Obra_Servicio,3,Grado,Construccion,27,No,No,No,Si,No,No,No
Medio_Tiempo,Presencial,Indefinido,6,Doctorado,Construccion,Por_Horas,Remoto,Practicas,5,Master,Educacion,58,No,No,No,No,No,No,No
Por_Horas,Presencial,Indefinido,5,Tecnico,Tecnologia,Por_Horas,Presencial,Obra_Servicio,3,Grado,Tecnologia,52,Si,Si,No,Si,Si,No,Si
Medio_Tiempo,Remoto,Practicas,6,Grado,Salud,Medio_Tiempo,Hibrido,Indefinido,2,Tecnico,Construccion,37,Si,No,No,No,No,No,No
Medio_Tiempo,Hibrido,Obra_Servicio,5,Grado,Otros,Temporal,Remoto,Indefinido,5,Master,Construccion,35,No,No,No,Si,No,Si,No
Temporal,Remoto,Practicas,3,Grado,Educacion,Temporal,Remoto,Indefinido,3,Doctorado,Salud,58,Si,Si,No,Si,No,Si,Si
Tiempo_Completo,Presencial,Indefinido,5,Master,Tecnologia,Tiempo_Completo,Presencial,Indefinido,1,Doctorado,Salud,42,Si,Si,Si,Si,No,No,Si
Tiempo_Completo,Hibrido,Obra_Servicio,1,Doctorado,Educacion,Por_Horas,Hibrido,Obra_Servicio,5,Master,Educacion,49,No,Si,Si,No,Si,Si,Si
Por_Horas,Remoto,Practicas,2,Bachillerato,Educacion,Por_Horas,Remoto,Indefinido,5,Bachillerato,Otros,20,Si,Si,No,Si,No,Si,Si
Por_Horas,Remoto,Indefinido,2,Bachillerato,Salud,Por_Horas,Hibrido,Indefinido,3,Grado,Salud,41,Si,No,Si,Si,Si,Si,Si
Medio_Tiempo,Presencial,Indefinido,3,Doctorado,Tecnologia,Medio_Tiempo,Presencial,Indefinido,1,Bachillerato,Construccion,58,Si,Si,Si,No,No,No,No
Tiempo_Completo,Hibrido,Practicas,6,Tecnico,Salud,Por_Horas,Hibrido,Practicas,6,Doctorado,Tecnologia,37,No,Si,Si,Si,No,Si,Si
Temporal,Presencial,Indefinido,6,Doctorado,Salud,Medio_Tiempo,Presencial,Indefinido,4,Doctorado,Salud,32,No,Si,Si,Si,Si,No,Si
Temporal,Hibrido,Practicas,5,Master,Tecnologia,Tiempo_Completo,Hibrido,Practicas,5,Doctorado,Construccion,30,No,Si,Si,Si,No,Si,Si
Temporal,Presencial,Practicas,1,Bachillerato,Construccion,Tiempo_Completo,Presencial,Indefinido,2,Grado,Educacion,21,No,Si,No,Si,No,Si,No
Medio_Tiempo,Hibrido,Obra_Servicio,5,Tecnico,Tecnologia,Por_Horas,Remoto,Obra_Servicio,6,Tecnico,Tecnologia,46,No,No,Si,Si,Si,Si,Si
Por_Horas,Presencial,Obra_Servicio,1,Grado,Construccion,Medio_Tiempo,Presencial,Practicas,2,Doctorado,Construccion,28,No,Si,No,Si,Si,Si,Si
Medio_Tiempo,Remoto,Practicas,5,Tecnico,Salud,Tiempo_Completo,Remoto,Practicas,5,Doctorado,Tecnologia,45,No,Si,Si,Si,No,Si,Si
Tiempo_Completo,Remoto,Obra_Servicio,1,Grado,Otros,Temporal,Remoto,Indefinido,2,Bachillerato,Construccion,54,No,Si,No,No,No,Si,No
Medio_Tiempo,Hibrido,Obra_Servicio,1,Grado,Construccion,Medio_Tiempo,Hibrido,Indefinido,3,Bachillerato,Otros,20,Si,Si,No,No,No,Si,No
Medio_Tiempo,Hibrido,Obra_Servicio,4,Doctorado,Educacion,Medio_Tiempo,Presencial,Indefinido,5,Bachillerato,Tecnologia,29,Si,No,No,No,No,Si,No
Tiempo_Completo,Presencial,Indefinido,3,Master,Construccion,Temporal,Presencial,Indefinido,3,Bachillerato,Construccion,24,No,Si,Si,No,Si,Si,Si
Temporal,Hibrido,Obra_Servicio,6,Bachillerato,Educacion,Temporal,Hibrido,Indefinido,6,Tecnico,Otros,45,Si,Si,No,Si,No,Si,Si
Medio_Tiempo,Remoto,Obra_Servicio,2,Tecnico,Construccion,Por_Horas,Remoto,Obra_Servicio,2,Grado,Salud,26,No,Si,Si,Si,No,Si,Si
Medio_Tiempo,Remoto,Practicas,5,Master,Otros,Medio_Tiempo,Remoto,Indefinido,1,Doctorado,Salud,55,Si,Si,No,Si,No,No,No
Medio_Tiempo,Presencial,Obra_Servicio,4,Master,Educacion,Tiempo_Completo,Hibrido,Obra_Servicio,1,Doctorado,Otros,29,No,No,Si,Si,No,No,No
Temporal,Hibrido,Practicas,1,Bachillerato,Tecnologia,Tiempo_Completo,Remoto,Obra_Servicio,1,Tecnico,Tecnologia,53,No,No,No,Si,Si,Si,No
Temporal,Remoto,Practicas,5,Tecnico,Educacion,Por_Horas,Presencial,Practicas,6,Tecnico,Educacion,41,No,No,Si,Si,Si,Si,Si
Tiempo_Completo,Remoto,Obra_Servicio,3,Tecnico,Construccion,Por_Horas,Presencial,Obra_Servicio,3,Tecnico,Construccion,36,No,No,Si,Si,Si,Si,Si
Tiempo_Completo,Remoto,Obra_Servicio,5,Grado,Educacion,Temporal,Presencial,Indefinido,5,Grado,Salud,41,No,No,No,Si,No,Si,No
Medio_Tiempo,Remoto,Obra_Servicio,4,Doctorado,Educacion,Por_Horas,Hibrido,Obra_Servicio,5,Master,Otros,60,No,No,Si,No,No,Si,No
Medio_Tiempo,Presencial,Obra_Servicio,3,Bachillerato,Salud,Tiempo_Completo,Presencial,Practicas,5,Master,Construccion,52,No,Si,No,Si,No,Si,No
Por_Horas,Hibrido,Practicas,4,Master,Tecnologia,Tiempo_Completo,Presencial,Indefinido,1,Doctorado,Construccion,55,No,No,No,Si,No,No,No
Por_Horas,Presencial,Indefinido,1,Doctorado,Educacion,Por_Horas,Presencial,Practicas,3,Doctorado,Construccion,41,Si,Si,No,Si,No,Si,Si
Tiempo_Completo,Presencial,Practicas,2,Bachillerato,Tecnologia,Por_Horas,Presencial,Practicas,3,Master,Otros,44,No,Si,Si,Si,No,Si,Si
